iso,Country,Region,Superregion
MUS,Mauritius,East Africa,Sub-Saharan Africa
MWI,Malawi,East Africa,Sub-Saharan Africa
MYS,Malaysia,South East Asia,East and South East Asia
NAM,Namibia,Southern Africa,Sub-Saharan Africa
NER,Niger,West Africa,Sub-Saharan Africa
NGA,Nigeria,West Africa,Sub-Saharan Africa
NIC,Nicaragua,Central Latin America,Latin America and Caribbean
NIU,Niue,Oceania,Oceania
NLD,Netherlands,North Western Europe,High-income Western countries
NOR,Norway,North Western Europe,High-income Western countries
NPL,Nepal,South Asia,South Asia
NRU,Nauru,Oceania,Oceania
NZL,New Zealand,High-income English-speaking countries,High-income Western countries
OMN,Oman,Middle East and North Africa,"Central Asia, Middle East and North Africa"
PAK,Pakistan,South Asia,South Asia
PAN,Panama,Central Latin America,Latin America and Caribbean
PER,Peru,Andean Latin America,Latin America and Caribbean
PHL,Philippines,South East Asia,East and South East Asia
PLW,Palau,Oceania,Oceania
PNG,Papua New Guinea,Oceania,Oceania
POL,Poland,Central Europe,Central and Eastern Europe
PRI,Puerto Rico,Caribbean,Latin America and Caribbean
PRK,North Korea,East Asia,East and South East Asia
PRT,Portugal,South Western Europe,High-income Western countries
PRY,Paraguay,Southern and Tropical Latin America,Latin America and Caribbean
PSE,Occupied Palestinian Territory,Middle East and North Africa,"Central Asia, Middle East and North Africa"
PYF,French Polynesia,Oceania,Oceania
QAT,Qatar,Middle East and North Africa,"Central Asia, Middle East and North Africa"
ROU,Romania,Central Europe,Central and Eastern Europe
RUS,Russian Federation,Eastern Europe,Central and Eastern Europe
RWA,Rwanda,East Africa,Sub-Saharan Africa
SAU,Saudi Arabia,Middle East and North Africa,"Central Asia, Middle East and North Africa"
SDN,Sudan,East Africa,Sub-Saharan Africa
SEN,Senegal,West Africa,Sub-Saharan Africa
SGP,Singapore,High-income Asia Pacific,High-income Asia Pacific
SLB,Solomon Islands,Oceania,Oceania
SLE,Sierra Leone,West Africa,Sub-Saharan Africa
SLV,El Salvador,Central Latin America,Latin America and Caribbean
SOM,Somalia,East Africa,Sub-Saharan Africa
SRB,Serbia,Central Europe,Central and Eastern Europe
STP,Sao Tome and Principe,West Africa,Sub-Saharan Africa
SUR,Suriname,Caribbean,Latin America and Caribbean
SVK,Slovakia,Central Europe,Central and Eastern Europe
SVN,Slovenia,Central Europe,Central and Eastern Europe
SWE,Sweden,North Western Europe,High-income Western countries
SWZ,Swaziland,Southern Africa,Sub-Saharan Africa
SYC,Seychelles,East Africa,Sub-Saharan Africa
SYR,Syrian Arab Republic,Middle East and North Africa,"Central Asia, Middle East and North Africa"
TCD,Chad,West Africa,Sub-Saharan Africa
TGO,Togo,West Africa,Sub-Saharan Africa
THA,Thailand,South East Asia,East and South East Asia
TJK,Tajikistan,Central Asia,"Central Asia, Middle East and North Africa"
TKL,Tokelau,Oceania,Oceania
TKM,Turkmenistan,Central Asia,"Central Asia, Middle East and North Africa"
TLS,Timor-Leste,South East Asia,East and South East Asia
TON,Tonga,Oceania,Oceania
TTO,Trinidad and Tobago,Caribbean,Latin America and Caribbean
TUN,Tunisia,Middle East and North Africa,"Central Asia, Middle East and North Africa"
TUR,Turkey,Middle East and North Africa,"Central Asia, Middle East and North Africa"
TUV,Tuvalu,Oceania,Oceania
TWN,Taiwan,East Asia,East and South East Asia
TZA,Tanzania,East Africa,Sub-Saharan Africa
UGA,Uganda,East Africa,Sub-Saharan Africa
UKR,Ukraine,Eastern Europe,Central and Eastern Europe
URY,Uruguay,Southern and Tropical Latin America,Latin America and Caribbean
USA,United States of America,High-income English-speaking countries,High-income Western countries
UZB,Uzbekistan,Central Asia,"Central Asia, Middle East and North Africa"
VCT,Saint Vincent and the Grenadines,Caribbean,Latin America and Caribbean
VEN,Venezuela,Central Latin America,Latin America and Caribbean
VNM,Viet Nam,South East Asia,East and South East Asia
VUT,Vanuatu,Oceania,Oceania
WSM,Samoa,Oceania,Oceania
YEM,Yemen,Middle East and North Africa,"Central Asia, Middle East and North Africa"
ZAF,South Africa,Southern Africa,Sub-Saharan Africa
ZMB,Zambia,East Africa,Sub-Saharan Africa
ZWE,Zimbabwe,Southern Africa,Sub-Saharan Africa
